name_ru,name_eng
Ринат,Rinat
Рифгат,Rifgat
Рифхат,Rifhat
Рихард,Rihard
Ричард,Richard
Роб,Rob
Роберт,Robert
Робби,Robbi
Робин,Robin
Родерик,Roderik
Родди,Roddi
Роджер,Rodzher
Родион,Rodion
Родни,Rodni
Рой,Roj
Ролан,Rolan
Роланд,Roland
Рольф,Rolf
Роман,Roman
Ромео,Romeo
Рон,Ron
Рональд,Ronald
Ростислав,Rostislav
Рубан,Ruban
Рубен,Ruben
Рувим,Ruvim
Рудольф,Rudolf
Руперт,Rupert
Руслан,Ruslan
Рушан,Rushan
Рэнальд,Renald
Рюрик,Rjurik
Савастей,Savastej
Савва,Savva
Савватей,Savvatej
Савватий,Savvatij
Савëл,Savël
Савелий,Savelij
Саверий,Saverij
Савин,Savin
Савиниан,Savinian
Савл,Savl
Сайлас,Sajlas
Саймон,Sajmon
Сакердон,Sakerdon
Салтан,Saltan
Самвел,Samvel
Самойла,Samojla
Самсон,Samson
Самсоний,Samsonij
Самуил,Samuil
Самуэль,Samuel
Сандерс,Sanders
Санди,Sandi
Саул,Saul
Светозар,Svetozar
Свирид,Svirid
Святополк,Svjatopolk
Святослав,Svjatoslav
Себастиан,Sebastian
Себастьян,Sebastjan
Севастьян,Sevastjan
Северин,Severin
Северьян,Severjan
Селиван,Selivan
Селивëрст,Selivërst
Селифан,Selifan
Семён,Semen
Семион,Semion
Септимус,Septimus
Серапион,Serapion
Серафим,Serafim
Сергей,Sergej
Сергий,Sergij
Сесил,Sesil
Сигизмунд,Sigizmund
Сидней,Sidnej
Сидор,Sidor
Сила,Sila
Силан,Silan
Силантий,Silantij
Силуян,Silujan
Сильван,Silvan
Сильвестр,Silvestr
Сим,Sim
Симми,Simmi
Симон,Simon
Симеон,Simeon
Сирил,Siril
Сиф,Sif
Смарагд,Smaragd
Созон,Sozon
Созонт,Sozont
Созонтий,Sozontij
Сократ,Sokrat
Сол,Sol
Солли,Solli
Соломон,Solomon
Сосипатр,Sosipatr
Софон,Sofon
Софоний,Sofonij
Софония,Sofonija
Софрон,Sofron
Софроний,Sofronij
Спартак,Spartak
Спиридон,Spiridon
Спиридоний,Spiridonij
Станимир,Stanimir
Станислав,Stanislav
Станли,Stanli
Стахий,Stahij
Степан,Stepan
Стёпа,Stepa
Стефан,Stefan
Стив,Stiv
Стива,Stiva
Стивен,Stiven
Стоян,Stojan
Стратоник,Stratonik
Стэн,Sten
Стэнли,Stenli
Султан,Sultan
Сурен,Suren
Сысой,Sysoj
Сэм,Sem
Сэмми,Semmi
Сэмпсон,Sempson
Сэмюэл,Semjuel
Сэмюэль,Semjuel
Сэнди,Sendi
Сэт,Set
Талгат,Talgat
Тамерлан,Tamerlan
Тарас,Taras
Твердислав,Tverdislav
Творимир,Tvorimir
Тед,Ted
Тедди,Teddi
Тейлор,Tejlor
Теймур,Tejmur
Теймураз,Tejmuraz
Тео,Teo
Теобальд,Teobald
Теодор,Teodor
Терентий,Terentij
Тертий,Tertij
Тиб,Tib
Тибальт,Tibalt
Тибби,Tibbi
Тибо,Tibo
Тибул,Tibul
Тигран,Tigran
Тигрий,Tigrij
Тим,Tim
Тимоти,Timoti
Тимофей,Timofej
Тимур,Timur
Тит,Tit
Тихон,Tihon
Тоби,Tobi
Тобайас,Tobajas
Тобайес,Tobajes
Тобиас,Tobias
Толгат,Tolgat
Том,Tom
Томми,Tommi
Томас,Tomas
Тони,Toni
Тристан,Tristan
Трифилий,Trifilij
Трифон,Trifon
Трофим,Trofim
Уар,Uar
Увар,Uvar
Уилл,Uill
Уилли,Uilli
Уилфред,Uilfred
Уильям,Uiljam
Уинстон,Uinston
Улисс,Uliss
Улукбек,Ulukbek
Ульян,Uljan
Уоллас,Uollas
Уоллес,Uolles
Уолт,Uolt
Уолтер,Uolter
Уот,Uot
Уотти,Uotti
Урбан,Urban
Устин,Ustin
Фабиан,Fabian
Фабьен,Faben
Фадей,Fadej
Фаддей,Faddej
Фалалей,Falalej
Фарад,Farad
Фарадж,Faradzh
Фархад,Farhad
Фатьян,Fatjan
Фёдор,Fedor
Федос,Fedos
Федосей,Fedosej
Федосий,Fedosij
Федот,Fedot
Федотий,Fedotij
Федул,Fedul
Феликс,Feliks
Фемистокл,Femistokl
Феогност,Feognost
Феодор,Feodor
Феодосий,Feodosij
Феоктист,Feoktist
Феофан,Feofan
Феофил,Feofil
Феофилакт,Feofilakt
Ферапонт,Ferapont
Фердинанд,Ferdinand
Фернандо,Fernando
Фил,Fil
Филарет,Filaret
Филат,Filat
Филимон,Filimon
Филипий,Filipij
Филипп,Filipp
Филофей,Filofej
Фирс,Firs
Флавиан,Flavian
Флавий,Flavij
Флегонт,Flegont
Флой,Floj
Флор,Flor
Флоренс,Florens
Флорентий,Florentij
Флорентин,Florentin
Флориан,Florian
Фока,Foka
Фома,Foma
Фортунат,Fortunat
Фотий,Fotij
Франсес,Franses
Франсис,Fransis
Франц,Frants
Франциск,Frantsisk
Фред,Fred
Фредди,Freddi
Фредерик,Frederik
Фридрих,Fridrih
Фрол,Frol
Фрэнк,Frenk
Фрэнсис,Frensis
Халим,Halim
Хаким,Hakim
Хамфри,Hamfri
Ханс,Hans
Харитон,Hariton
Харитоний,Haritonij
Харлам,Harlam
Харламп,Harlamp
Харлампий,Harlampij
Хасбулат,Hasbulat
Хауард,Hauard
Хорас,Horas
Хоуп,Houp
Хрисанф,Hrisanf
Христиан,Hristian
Христофор,Hristofor
Хулио,Hulio
Хью,Hju
Хьюберт,Hjubert
Хьюго,Hjugo
Хэл,Hel
Хэмфри,Hemfri
Цезарь,Tsezar
Цецилий,Tsetsilij
Цицерон,Tsitseron
Чарли,Charli
Чарльз,Charlz
Чеслав,Cheslav
Чингиз,Chingiz
Чингис,Chingis
Шалва,Shalva
Шамиль,Shamil
Шарль,Sharl
Шарон,Sharon
Шон,Shon
Шота,Shota
Шура,Shura
Шурик,Shurik
Эд,Ed
Эдвард,Edvard
Эдвин,Edvin
Эдгар,Edgar
Эдгард,Edgard
Эдди,Eddi
Эдмон,Edmon
Эдмунд,Edmund
Эдмундо,Edmundo
Эдуард,Eduard
Элджернон,Eldzhernon
Эллиот,Elliot
Элмер,Elmer
Эльдар,Eldar
Эмброуз,Embrouz
Эмери,Emeri
Эмилий,Emilij
Эмиль,Emil
Эммануил,Emmanuil
Эммануэль,Emmanuel
Энвер,Enver
Энди,Endi
Эндрю,Endrju
Энтони,Entoni
Эразм,Erazm
Эраст,Erast
Эрнест,Ernest
Эрнст,Ernst
Ювенал,Juvenal
Ювеналий,Juvenalij
Юджин,Judzhin
Юзеф,Juzef
Юлиан,Julian
Юлий,Julij
Юрий,Jurij
Юстас,Justas
Юстиниан,Justinian
Юсуп,Jusup
Юсуф,Jusuf
Яким,Jakim
Якоб,Jakob
Яков,Jakov
Якуб,Jakub
Ян,Jan
Янко,Janko
Януарий,Januarij
Ярополк,Jaropolk
Ярослав,Jaroslav
Абби,Abbi
Аби,Abi
Абигейл,Abigejl
Ава,Ava
Авария,Avarija
Августа,Avgusta
Августина,Avgustina
Авдотья,Avdotja
Авелина,Avelina
Аверьяна,Averjana
Авигайль,Avigajl
Авигея,Avigeja
Авис,Avis
Авиталь,Avital
Авиэтта,Avietta
Аврелия,Avrelija
Аврея,Avreja
Аврора,Avrora
Агапа,Agapa
Агапия,Agapija
Агарь,Agar
Агата,Agata
Агафа,Agafa
Агафоклия,Agafoklija
Агафоника,Agafonika
Агафия,Agafija
Агафья,Agafja
Агги,Aggi
Аглаида,Aglaida
Аглая,Aglaja
Агна,Agna
Агнес,Agnes
Агнесса,Agnessa
Агнета,Agneta
Агния,Agnija
Агнария,Agnarija
Аграфена,Agrafena
Агриппина,Agrippina
Ада,Ada
Адалин,Adalin
Адда,Adda
Адди,Addi
Адела,Adela
Аделаида,Adelaida
Аделин,Adelin
Аделина,Adelina
Аделисия,Adelisija
